index,date,formatted date,grid,plot,Tree tag,gps tag,gps used,side,zone,fixed area,Species,fixed ht cm,Diameter 1,Diameter 2,Diameter 3,Diameter 4,Diameter 5,# Stems,Breaking,Age,Resprout,strip Circumference,Additive circumferance,area <3m stripped,Age strip,Bark Regrowth,Borers,Fire,Toppled,Resprout,Ele?,Alive,data entered bY
24,27/05/2018,27-May-18,1,1,195,NA,NA,A,5,0 to 2,Gymnosporia senegalensis,155,0.562,1.75,1.35,1.2,0.919,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,DannY
29,27/05/2018,27-May-18,1,1,191,NA,NA,A,5,0 to 2,Gymnosporia senegalensis,71.1,0.72,2.009,1.633,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,DannY
26,27/05/2018,27-May-18,1,1,194,NA,NA,A,5,0 to 2,Gymnosporia senegalensis,155,1.394,1.082,1.445,2.14,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,DannY
28,27/05/2018,27-May-18,1,1,192,NA,NA,A,5,0 to 2,Gymnosporia senegalensis,55.5,1.536,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,DannY
27,27/05/2018,27-May-18,1,1,193,NA,NA,A,5,0 to 2,Ximemia americana,158,1.97,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,DannY
136,5/27/2018,27-May-18,1,1,387,NA,NA,A,5,0 to 2,Lannea schweinfurthii,140,2.26,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
135,5/27/2018,27-May-18,1,1,388,NA,NA,A,5,0 to 2,Gymnosporia senegalensis,165,2.57,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
25,27/05/2018,27-May-18,1,1,196,NA,NA,A,5,0 to 2,Lannea schweinfurthii,152,10.531,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,DannY
5,5/26/2018,26-May-18,1,1,OTS 0101,OTS0101,OTS C,NA,NA,0 to 25,Senegalia nigrescens,500.00,12.9,12.9,,,,2,5,Old,N,0,0,0,NA,NA,NA,NA,N,NA,N,Y,melanie
6,27/05/2018,27-May-18,1,1,197,NA,NA,A,3,2 to 10,Bolusanthus speciosus,430.00,10.355,11.222,,,,2,5,Old,N,35,3,35,Old,1,2,0,N,N,Y,Y,DannY
5,27/05/2018,27-May-18,1,1,198,NA,NA,A ,2,2 to 10,Philenoptera violacea,420.00,14.113,15.49,,,,2,70,Old,N,70,0,70,Old,50,20,0,N,N,Y,Y,DannY
1,27/05/2018,27-May-18,1,1,O144,NA,NA,B,2,2 to 10,Philenoptera violacea,300.00,3.669,6.767,9.657,9.744,,5,0,NA,N,40,25,35,Old,0,0,0,N,N,N,Y,DannY
2,27/05/2018,27-May-18,1,1,O146,NA,NA,B,3,2 to 10,Gymnosporia senegalensis,250.00,3.267,2.475,2.637,5.263,,6,0,NA,N,0,0,0,NA,0,0,0,N,N,N,Y,DannY
3,27/05/2018,27-May-18,1,1,199,NA,NA,B,4,2 to 10,Philenoptera violacea,250.00,2.852,4.132,2.174,10.66,,5,0,NA,N,35,0,35,Old,1,0,0,N,N,Y,Y,DannY
4,27/05/2018,27-May-18,1,1,200,NA,NA,B,5,2 to 10,Philenoptera violacea,500.00,12.692,,,,,1,0,NA,N,15,7,15,Old,1,0,0,N,N,Y,Y,DannY
137,5/27/2018,27-May-18,1,3,OTS 0137,NA,NA,A,1,0 to 2,Ehrethia rigidia,20,0.20,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
139,5/27/2018,27-May-18,1,3,OTS0139,NA,NA,A,1,0 to 2,Ormocarpum trichocarpum,28,0.24,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
144,5/27/2018,27-May-18,1,3,94,NA,NA,A,1,0 to 2,Ormocarpum trichocarpum,41,0.41,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
142,5/27/2018,27-May-18,1,3,95,NA,NA,A,1,0 to 2,Ormocarpum trichocarpum,34,0.44,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
141,5/27/2018,27-May-18,1,3,91,NA,NA,A,1,0 to 2,Ehrethia rigidia,45,0.49,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
138,5/27/2018,27-May-18,1,3,OTS 0138,NA,NA,A,1,0 to 2,Ormocarpum trichocarpum,42,0.70,0.42,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
146,5/27/2018,27-May-18,1,3,92,NA,NA,A,1,0 to 2,Ormocarpum trichocarpum,74,0.70,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
140,5/27/2018,27-May-18,1,3,97,NA,NA,A,1,0 to 2,Gymnosporia senegalensis,63,0.87,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
145,5/27/2018,27-May-18,1,3,99,NA,NA,A,1,0 to 2,Gymnosporia senegalensis,140,1.05,1.64,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
143,5/27/2018,27-May-18,1,3,98,NA,NA,A,1,0 to 2,Flueggea virosa,130,1.32,1.11,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
152,5/27/2018,27-May-18,1,3,370,NA,NA,A,2,0 to 2,Ormocarpum trichocarpum,49,0.10,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
153,5/27/2018,27-May-18,1,3,328,NA,NA,A,2,0 to 2,Ormocarpum trichocarpum,34,0.26,0.23,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
