index,Location,Location 2,Date,Grid,Plot,Way Point,Species,Ht (cm),Diameter stem 1,Diameter stem 2,Diameter stem 3,Diameter stem 4,# of stems,Breaking %,Age,Respr,Stripping % circum,Add circum,< 3m %,Age,% Regrow,Borers %,Fire (Yes/No),Toppled (Yes/No),Respr,ElephaNot (Yes/No),Alive (Yes/No),notes,GPS used,data entered by
20,Kruger Park,Lower Sabie,6/4/2017,1,5,G1P5T2,Acacia gerrardii,5,12,NA,NA,NA,1,90,Old,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,,,
21,Kruger Park,Lower Sabie,6/4/2017,1,5,G1P5T3,Acacia nigrescens,5.2,22,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,,,
22,Kruger Park,Lower Sabie,6/4/2017,1,5,G1P5T4,Acacia nigrescens,8.5,33,NA,NA,NA,1,5,Old,Yes,60,10,NA,Old,10,N,No,NA,NA,Yes,Yes,,,
23,Kruger Park,Lower Sabie,6/4/2017,1,5,G1P5T5,Acacia nigrescens,7.5,30,NA,NA,NA,1,15,Old,Yes,50,20,NA,Old,5,5,No,NA,NA,Yes,Yes,,,
24,Kruger Park,Lower Sabie,6/4/2017,1,5,G1P5T6,Acacia nigrescens,6,18,10,11,NA,3,75,Old,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,,,
25,Kruger Park,Lower Sabie,6/4/2017,1,5,G1P5T7,Acacia nigrescens,5,12,8,13,NA,3,50,Old,Yes,15,2,NA,Old,50,100,NA,NA,NA,Yes,Yes,,,
26,Kruger Park,Lower Sabie,6/4/2017,1,5,G1P5T8,Acacia nigrescens,5.5,16,9,4,NA,3,80,Old,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,,,
27,Kruger Park,Lower Sabie,6/4/2017,1,5,G1P5T9,Acacia nigrescens,7,23,NA,NA,NA,3,15,Old,No,0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,,,
17,Kruger Park,Lower Sabie,6/4/2017,1,7,G1P7T1,Acacia gerrardii,5,12,NA,NA,NA,1,100,Old,Yes,40,10,NA,Old,10,100,No,NA,NA,Yes,Yes,,,
18,Kruger Park,Lower Sabie,6/4/2017,1,7,G1P7T2,Acacia nigrescens,5.2,20,8,NA,NA,2,100,Old,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,,,
14,Kruger Park,Lower Sabie,6/4/2017,1,8,G1P8T1,Acacia nigrescens,5.1,19,NA,NA,NA,1,5,Old,Yes,0,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,,,
15,Kruger Park,Lower Sabie,6/4/2017,1,8,G1P8T2,Bolusanthantus speciosa,5,12,4,NA,NA,2,5,Old,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,,,
16,Kruger Park,Lower Sabie,6/4/2017,1,8,G1P8T3,Acacia nigrescens,5.8,18,NA,NA,NA,1,2,Old,Yes,0,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,,,
9,Kruger Park,Lower Sabie,6/4/2017,1,9,G1P9T1,Acacia nigrescens,5.4,14,14,23,NA,3,2,Old,Yes,50,5,NA,Old,20,100,No,NA,NA,Yes,Yes,,,
10,Kruger Park,Lower Sabie,6/4/2017,1,9,G1P9T2,Acacia nigrescens,5,14,9,23,NA,2,5,Old,Yes,27,6,NA,Old,15,50,No,NA,NA,Yes,Yes,,,
11,Kruger Park,Lower Sabie,6/4/2017,1,9,G1P9T3,Acacia nigrescens,5.2,22,22,20,NA,3,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,,,
12,Kruger Park,Lower Sabie,6/4/2017,1,9,G1P9T4,Acacia nigrescens,6,20,17,NA,NA,2,2,Old,Yes,25,10,NA,New,0,N,No,NA,NA,Yes,Yes,,,
13,Kruger Park,Lower Sabie,6/4/2017,1,9,G1P9T5,Acacia nigrescens,5.1,27,21,15,NA,3,2,Old,Yes,15,5,NA,Old,50,100,No,NA,NA,Yes,Yes,,,
8,Kruger Park,Lower Sabie,6/4/2017,1,9,,Acacia nigrescens,4,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
33,Kruger Park,Lower Sabie,3/6/2017,2,11,Gr2Pl11Tr1,Acacia nigrescens,5.2,11,NA,NA,NA,1,100,2,No,na,NA,na,NA,na,na,NA,NA,NA,Yes,No,,laurence's grey gps?,laurence
