date,index,location,location2,Grid,Plot,Way Point,GPS used,Tag #,Species,Ht (cm),Diameter stem 1,Diameter stem 2,Diameter stem 3,Diameter stem 4,Diameter stem 5,Diameter stem 6,Diameter stem 7,Diameter stem 8,# of stems,%,Age,Respr,% circum,Add circum,< 3m %,Age,% Regrow,Borers %,Fire (y/n),Toppled (y/n),Respr,Elephant (y/n),Alive (y/n),notes,Data entered by
5-Jun-16,28,Kruger National Park,Lower sabie,1,2,92,NI,,Acacia nigrescens,620,15.9,9.9,0,0,0,0,0,0,5,15,O,N,0,0,0,N/A,N/A,3,Y,N,N,Y,Y,,Tembeka
5-Jun-16,29,Kruger National Park,Lower sabie,1,2,94,Yellow,,Acacia nigrescens,520,13.1,11.1,0,0,0,0,0,0,5,35,O,N,5,7,2,O,80,0,Y,N,N,Y,Y,,Tembeka
5-Jun-16,30,Kruger National Park,Lower sabie,1,2,77/78,Yellow,,Acacia nigrescens,650,18.1,0,0,0,0,0,0,0,5,0,N/A,N/A,50,80,30,O,0,15,Y,N,N,Y,Y,,Tembeka
5-Jun-16,31,Kruger National Park,Lower sabie,1,3,95,NI,,Acacia nigrescens,650,14.8,0,0,0,0,0,0,0,5,20,O,N,80,83,0,O,0,5,Y,Y,Y,Y,Y,Follow up on species name,Tembeka
5-Jun-16,32,Kruger National Park,Lower sabie,1,3,96,Yellow,,Phylonoptera violaceae,600,24.3,0,0,0,0,0,0,0,5,10,O,N,50,65,35,O,90,2,N,N,N,Y,Y,,Tembeka
5-Jun-16,33,Kruger National Park,Lower sabie,1,3,98,NI,,Acacia nigrescens,520,15,0,0,0,0,0,0,0,5,100,O,N,30,31,0,O,0,80,Y,N,N,Y,Y,,Tembeka
5-Jun-16,34,Kruger National Park,Lower sabie,1,3,99,NI,,Acacia nigrescens,550,13,0,0,0,0,0,0,0,5,4,O,N,25,25,0,O,2,2,Y,N,N,Y,Y,,Tembeka
5-Jun-16,35,Kruger National Park,Lower sabie,1,3,100,Yellow,,Acacia nigrescens,520,19.7,0,0,0,0,0,0,0,5,10,O,N,5,15,4,O,5,0,Y,N,N,Y,Y,,Tembeka
5-Jun-16,36,Kruger National Park,Lower sabie,1,3,101,Yellow,,Combretum imberbe,610,22.1,0,0,0,0,0,0,0,5,12,O,N,28,50,15,O,0,3,Y,N,N,Y,Y,,Tembeka
5-Jun-16,37,Kruger National Park,Lower sabie,1,4,102,NI,,Acacia nigrescens,530,16.8,0,0,0,0,0,0,0,5,5,O,N,0,0,0,N/A,N/A,3,Y,N,N,Y,Y,,Tembeka
5-Jun-16,38,Kruger National Park,Lower sabie,1,4,104,NI,,Acacia nigrescens,550,22.5,0,0,0,0,0,0,0,5,10,O,N,40,40,0,O,2,3,Y,N,N,Y,Y,,Tembeka
5-Jun-16,39,Kruger National Park,Lower sabie,1,5,105,NI,,Acacia nigrescens,600,15.2,8.6,8.1,0,0,0,0,0,5,15,O,N,0,0,0,N/A,N/A,3,Y,N,N,Y,Y,,Tembeka
5-Jun-16,40,Kruger National Park,Lower sabie,1,5,106,NI,,Acacia nigrescens,660,18.5,0,0,0,0,0,0,0,5,100,O,N,0,0,0,N/A,N/A,N/A,N,N,N/A,N,N,,Tembeka
5-Jun-16,41,Kruger National Park,Lower sabie,1,5,107,NI,,Acacia nigrescens,550,24.5,0,0,0,0,0,0,0,5,5,O,N,15,50,0,O,5,5,Y,N,N,Y,Y,,Tembeka
5-Jun-16,42,Kruger National Park,Lower sabie,1,5,108,NI,,Acacia nigrescens,610,36,0,0,0,0,0,0,0,5,7,O,N,40,55,0,O,0.5,2,Y,N,N,Y,Y,,Tembeka
