ref,,,Date,Grid,Plot,Site code,Site,Section code,species (correctly spelled!),Height (cm),# stems,stem 1 diameter (cm),stem 2 diameter (cm),stem 3 diameter (cm),stem 4 diameter (cm),stem 5 diameter (cm),%break,age (N/O/N/A),sprout (Y/ N),% circum,% Additive,% < 3m,age (n/o/N/A),% regro,% borer, % fire,topple (y/n),resprout #,ele? (y/n/N/A),alive (y/n),Notes,Data Collector,Data Enterer,total basal area,total biomass
664,,,11-Jun-2013,3,20,3_20,Intermediate 1,3A02,Dichrostachys cinerea,20,3,0.214,0.25,0.262,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.286230507,
665,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B02,Albizia forbesii,35,10,0.336,0.269,0.274,0.254,0.211,100,O,Y,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Sam and Chev,Cori,0.612611353,
666,,,11-Jun-2013,3,20,3_20,Intermediate 1,3A02,Ehretia rigida,25,1,0.636,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.317690416,
667,,,11-Jun-2013,3,20,3_20,Intermediate 1,3A02,Ehretia rigida,15,2,0.199,0.256,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.236989969,
668,,,11-Jun-2013,3,20,3_20,Intermediate 1,3A02,Ehretia rigida,23,2,0.177,0.337,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.381393275,
669,,,11-Jun-2013,3,20,3_20,Intermediate 1,3A02,Ehretia rigida,35,3,0.921,0.741,0.287,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,2.455888221,
670,,,11-Jun-2013,3,20,3_20,Intermediate 1,4A02,Ehretia rigida,50,7,0.068,0.682,0.378,0.72,0.598,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,3.48654581,
671,,,11-Jun-2013,3,20,3_20,Intermediate 1,4A02,Ehretia rigida,40,4,0.801,0.675,0.44,0.318,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,2.4050439,
672,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B02,Albizia forbesii,38,13,0.055,0.028,0.019,0.019,0.187,100,O,Y,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Sam and Chev,Cori,0.03372107,
673,,,11-Jun-2013,3,20,3_20,Intermediate 1,4A02,Indigofera arrecta,65,1,0.518,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.210741177,
674,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B02,Albizia forbesii,39,12,0.094,0.021,0.052,0.117,0.044,100,O,Y,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Sam and Chev,Cori,0.05497473,
675,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B02,Ehretia rigida,30,2,0.091,0.16,0,0,0,30,O,N,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Sam and Chev,Cori,0.086928654,
676,,,11-Jun-2013,3,20,3_20,Intermediate 1,4A02,Indigofera arrecta,70,1,0.601,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.283686602,
677,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B25,Combretum hereroense,580,4,13.4,9.5,4.6,12.1,0,30,O,Y,15,15,7,O,50,90,0,N,N/A,Y,Y,,"Karen, Tanya and Caroline",Cori,901.1344368,
678,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Ehretia rigida,23,1,0.37,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.107521009,
679,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Commiphora africana,50,2,0.51,0.874,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,2.604069292,
680,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Ehretia rigida,20,1,0.275,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.059395736,
681,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Ehretia rigida,25,2,0.388,0.401,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.623408221,
682,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Ehretia rigida,25,1,0.24,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.045238934,
683,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Ehretia rigida,20,1,0.257,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.051874763,
684,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Ehretia rigida,15,1,0.321,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.080928212,
685,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Ehretia rigida,20,1,0.352,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.097313974,
686,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Ehretia rigida,20,1,0.271,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.057680427,
687,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Ehretia rigida,40,5,0.344,0.408,0.326,0.514,0.294,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,1.59725482,
688,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Ehretia rigida,20,3,0.578,0.304,0.305,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.625784051,
689,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Ehretia rigida,30,1,0.523,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.214829174,
690,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Albizia forbesii,50,1,0.623,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.304835804,
691,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Ehretia rigida,20,1,0.502,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.197923479,
692,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Ehretia rigida,30,4,0.372,0.45,0.474,0.402,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,1.429013109,
693,,,11-Jun-2013,3,20,3_20,Intermediate 1,2A02,Acacia nigrescens,45,5,5.292,0.836,0.207,0.286,0.225,100,O,Y,0,0,0,N/A,0,0,0,N,N/A,U,Y,first stem dead due to fire,Graeme,Cori,24.52131347,
694,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Ehretia rigida,25,1,0.604,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.286525816,
695,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Ehretia rigida,15,2,0.354,0.27,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.327445061,
696,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Ehretia rigida,30,1,0.338,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.089727028,
697,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Ehretia rigida,35,4,0.37,0.578,0.37,0.271,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,1.495319563,
698,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Commiphora africana,90,4,0.697,0.875,0.843,1.137,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,7.406331384,
699,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Ehretia rigida,55,1,0.736,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.425447044,
700,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Ehretia rigida,35,3,0.597,0.315,0.16,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.611753698,
701,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Commiphora africana,45,1,0.412,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.133316626,
702,,,11-Jun-2013,3,20,3_20,Intermediate 1,1A02,Ehretia rigida,30,2,0.34,0.253,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.291882232,
703,,,11-Jun-2013,3,20,3_20,Intermediate 1,2A02,Ehretia rigida,40,1,0.375,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.110446617,
704,,,11-Jun-2013,3,20,3_20,Intermediate 1,2A02,Ehretia rigida,35,4,0.448,0.53,0.564,0.48,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,2.013760891,
705,,,11-Jun-2013,3,20,3_20,Intermediate 1,2A02,Commiphora africana,90,1,1.513,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,1.797909128,
706,,,11-Jun-2013,3,20,3_20,Intermediate 1,2A02,Dichrostachys cinerea,30,3,0.455,0.515,0.62,0,0,60,N,N,0,0,0,N/A,0,0,0,N,N/A,U,Y,first stem dead,Graeme,Cori,1.29773302,
707,,,11-Jun-2013,3,20,3_20,Intermediate 1,2A02,Ehretia rigida,80,1,0.507,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,0.201885813,
708,,,11-Jun-2013,3,20,3_20,Intermediate 1,2A02,Ehretia rigida,40,1,1.172,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,1.078810351,
709,,,11-Jun-2013,3,20,3_20,Intermediate 1,2A02,Ehretia rigida,35,4,0.561,0.387,0.718,0.711,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,2.710727148,
710,,,11-Jun-2013,3,20,3_20,Intermediate 1,2A02,Dichrostachys cinerea,190,6,2.336,0.795,2.263,0.635,2.721,60,O,N,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Graeme,Cori,17.37528974,
711,,,11-Jun-2013,3,20,3_20,Intermediate 1,2A02,Ormocarpum trichocarpum,90,3,1.31,0.433,0.323,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,2.018775658,
712,,,11-Jun-2013,3,20,3_20,Intermediate 1,2A02,Dichrostachys cinerea,50,1,1.185,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,1.102875736,
713,,,11-Jun-2013,3,20,3_20,Intermediate 1,2A10,Acacia nigrescens,250,1,7.8,0,0,0,0,20,O,Y,0,0,0,N/A,0,0,0,N,N/A,U,Y,,"Karen, Tanya and Caroline",Cori,47.78362426,
714,,,11-Jun-2013,3,20,3_20,Intermediate 1,2A02,Dichrostachys cinerea,75,1,1.247,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Graeme,Cori,1.221301213,
715,,,11-Jun-2013,3,20,3_20,Intermediate 1,2A10,Dichrostachys cinerea,210,3,5.1,2.8,2.1,0,0,60,O,N,0,0,0,N/A,0,0,0,N,N/A,U,Y,100% top kill and resprouting,"Karen, Tanya and Caroline",Cori,48.52189853,
716,,,11-Jun-2013,3,20,3_20,Intermediate 1,2B02,Albizia forbesii,28,6,0.459,0.34,0.284,0.343,0.14,100,O,Y,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Sam and Chev,Cori,0.976982694,
717,,,11-Jun-2013,3,20,3_20,Intermediate 1,2B02,Albizia forbesii,45,2,0.384,0.41,0,0,0,100,O,Y,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Sam and Chev,Cori,0.643913397,
718,,,11-Jun-2013,3,20,3_20,Intermediate 1,2B02,Ehretia rigida,24,1,0.946,0,0,0,0,30,O,N,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Sam and Chev,Cori,0.702865383,
719,,,11-Jun-2013,3,20,3_20,Intermediate 1,3A02,Ehretia rigida,40,3,0.441,0.519,0.516,0,0,66,N,N,0,0,0,N/A,0,0,0,N,N/A,U,Y,last two stems dead,Graeme,Cori,1.208084532,
720,,,11-Jun-2013,3,20,3_20,Intermediate 1,3A10,Combretum hereroense,300,16,3.2,2.4,2.3,3.7,0,25,O,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,"Karen, Tanya and Caroline",Cori,73.30121059,
721,,,11-Jun-2013,3,20,3_20,Intermediate 1,3A10,Combretum hereroense,440,6,11.5,4.6,3.1,4.2,2.2,30,O,Y,50,50,30,O,15,5,0,N,N/A,Y,Y,,"Karen, Tanya and Caroline",Cori,237.1117055,
722,,,11-Jun-2013,3,20,3_20,Intermediate 1,3A10,Combretum hereroense,460,8,2.4,5.2,4.7,2.2,2.7,45,O,Y,30,30,25,O,90,40,25,N,N/A,U,Y,,"Karen, Tanya and Caroline",Cori,127.7528653,
723,,,11-Jun-2013,3,20,3_20,Intermediate 1,3A10,Terminalia phanerophlebia,420,15,8.3,8.3,9.8,7.1,3.8,10,O,Y,5,5,2,O,25,100,0,N,N/A,N,Y,,"Karen, Tanya and Caroline",Cori,515.6688721,
724,,,11-Jun-2013,3,20,3_20,Intermediate 1,3B02,Albizia forbesii,29,2,0.305,0.129,0,0,0,20,N,N,0,0,0,N/A,0,0,0,N,N/A,U,N,,Sam and Chev,Cori,0.125340907,
725,,,11-Jun-2013,3,20,3_20,Intermediate 1,3B02,Dichrostachys cinerea,29,4,0.785,0.399,0.314,0.614,0,100,O,Y,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Sam and Chev,Cori,2.245931657,
726,,,11-Jun-2013,3,20,3_20,Intermediate 1,3B02,Ehretia rigida,25,5,0.754,0.302,0.483,0.722,0.383,100,O,Y,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Sam and Chev,Cori,2.669133247,
727,,,11-Jun-2013,3,20,3_20,Intermediate 1,4A02,Combretum hereroense,160,10,4.06,1.168,1.251,1.204,1.053,100,O,Y,0,0,0,N/A,0,0,0,N,N/A,U,Y,first stem dead,Graeme,Cori,23.8861337,
728,,,11-Jun-2013,3,20,3_20,Intermediate 1,4A02,Combretum hereroense,180,1,0.52,0,0,0,0,35,O,Y,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Graeme,Cori,0.212371663,
729,,,11-Jun-2013,3,20,3_20,Intermediate 1,4A02,Combretum hereroense,180,11,2.11,1.531,1.088,0.901,1.221,35,O,N,0,0,0,N/A,0,0,0,N,N/A,U,Y,first stem stems dead,Graeme,Cori,15.51140403,
730,,,11-Jun-2013,3,20,3_20,Intermediate 1,4A02,Combretum hereroense,200,10,1.896,0.778,0.727,1.9,5.361,100,O,Y,0,0,0,N/A,0,0,0,N,N/A,U,Y,last stem dead,Graeme,Cori,39.05376817,
731,,,11-Jun-2013,3,20,3_20,Intermediate 1,4A02,Dichrostachys cinerea,25,3,0.633,0.515,0.439,0,0,60,O,Y,0,0,0,N/A,0,0,0,N,N/A,U,Y,first stem dead,Graeme,Cori,1.299292036,
732,,,11-Jun-2013,3,20,3_20,Intermediate 1,4A10,Combretum hereroense,235,11,2,3.8,2.9,4.1,2.2,35,O,N,0,0,0,N/A,0,0,0,N,N/A,U,Y,,"Karen, Tanya and Caroline",Cori,111.7228887,
733,,,11-Jun-2013,3,20,3_20,Intermediate 1,4A25,Combretum hereroense,500,9,11,11.5,12.1,10,7.9,40,O,Y,15,15,5,O,30,5,80,N,N/A,Y,Y,,"Karen, Tanya and Caroline",Cori,988.674916,
734,,,11-Jun-2013,3,20,3_20,Intermediate 1,4B02,Albizia forbesii,68,1,0.336,0,0,0,0,5,O,N,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Sam and Chev,Cori,0.088668311,
735,,,11-Jun-2013,3,20,3_20,Intermediate 1,5A10,Combretum hereroense,430,9,13.9,5.2,2.4,2.1,1.9,25,O,Y,7,7,2,O,30,0,0,N,N/A,U,Y,,"Karen, Tanya and Caroline",Cori,257.9090489,
736,,,11-Jun-2013,3,20,3_20,Intermediate 1,5B02,Dichrostachys cinerea,55,1,0.673,0,0,0,0,10,O,N,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Sam and Chev,Cori,0.355729605,
737,,,11-Jun-2013,3,20,3_20,Intermediate 1,5B10,Combretum hereroense,300,10,2.9,5.5,2.1,4,4.5,35,O,N,0,0,0,O,0,0,0,N,N/A,U,Y,,Sam and Chev,Cori,171.2717775,
738,,,11-Jun-2013,3,20,3_20,Intermediate 1,5B10,Combretum hereroense,400,10,9,5,7,6,2,10,O,N,5,5,1,O,50,0,0,N,N/A,U,Y,,Sam and Chev,Cori,296.8805058,
739,,,11-Jun-2013,3,20,3_20,Intermediate 1,5B10,Combretum hereroense,450,10,5,6,13,6,6,15,O,N,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Sam and Chev,Cori,406.8362486,
740,,,11-Jun-2013,3,20,3_20,Intermediate 1,5B10,Combretum hereroense,520,7,8,6,7,3,3,30,O,N,20,20,7,O,0,1,0,N,N/A,U,Y,,Sam and Chev,Cori,237.1902453,
741,,,11-Jun-2013,3,20,3_20,Intermediate 1,3B02,Ehretia rigida,34,1,0.514,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.207499053,
742,,,11-Jun-2013,3,20,3_20,Intermediate 1,3B02,Ehretia rigida,32,2,0.459,0.593,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,1.270206386,
743,,,11-Jun-2013,3,20,3_20,Intermediate 1,3B02,Ehretia rigida,51,2,0.661,0.981,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,3.366503199,
744,,,11-Jun-2013,3,20,3_20,Intermediate 1,3B02,Ehretia rigida,45,1,0.644,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.325732893,
745,,,11-Jun-2013,3,20,3_20,Intermediate 1,3B02,Ehretia rigida,15,2,0.544,0.231,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.400066116,
746,,,11-Jun-2013,3,20,3_20,Intermediate 1,3B02,Ehretia rigida,30,3,0.586,0.503,0.321,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,1.145482016,
747,,,11-Jun-2013,3,20,3_20,Intermediate 1,3B02,Ehretia rigida,16,2,0.567,0.364,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.66874533,
748,,,11-Jun-2013,3,20,3_20,Intermediate 1,3B02,Ehretia rigida,30,1,0.452,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.160459986,
749,,,11-Jun-2013,3,20,3_20,Intermediate 1,3B02,Ehretia rigida,24,1,0.569,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.254281295,
750,,,11-Jun-2013,3,20,3_20,Intermediate 1,3B02,Ehretia rigida,38,1,0.747,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.438259244,
751,,,11-Jun-2013,3,20,3_20,Intermediate 1,5B25,Combretum hereroense,520,13,4.9,5.1,3.1,3.4,3.1,5,O,N,2,2,1,O,0,0,0,N,N/A,N,Y,,Graeme,Cori,151.9823986,
752,,,11-Jun-2013,3,20,3_20,Intermediate 1,3B02,Ehretia rigida,27,1,0.612,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.29416617,
753,,,11-Jun-2013,3,20,3_20,Intermediate 1,3B02,Ehretia rigida,26,2,0.59,0.555,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,1.241086178,
754,,,11-Jun-2013,3,20,3_20,Intermediate 1,3B02,Ehretia rigida,38,1,0.665,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.347322703,
755,,,11-Jun-2013,3,20,3_20,Intermediate 1,3B02,Ehretia rigida,25,1,0.357,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.100098211,
756,,,11-Jun-2013,3,20,3_20,Intermediate 1,3B02,Albizia forbesii,25,1,0.121,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.011499015,
757,,,11-Jun-2013,3,20,3_20,Intermediate 1,3B02,Albizia forbesii,45,1,0.234,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.043005262,
758,,,11-Jun-2013,3,20,3_20,Intermediate 1,4B02,Albizia forbesii,34,1,0.49,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.188574099,
759,,,11-Jun-2013,3,20,3_20,Intermediate 1,4B02,Indigofera arrecta,67,1,0.68,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.363168111,
760,,,11-Jun-2013,3,20,3_20,Intermediate 1,4B02,Ormocarpum trichocarpum,44,1,0.493,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.190890238,
761,,,11-Jun-2013,3,20,3_20,Intermediate 1,4B02,Ormocarpum trichocarpum,81,1,1.011,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.802771956,
762,,,11-Jun-2013,3,20,3_20,Intermediate 1,4B02,Acacia nigrescens,34,3,0.668,0.219,0.248,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.549442564,
763,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B02,Ehretia rigida,29,2,0.25,0.281,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.297150683,
764,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B02,Ehretia rigida,34,2,0.112,0.206,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.14316866,
765,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B02,Commiphora africana,57,2,0.322,0.102,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.114118353,
766,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B02,Ehretia rigida,26,1,0.302,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.071631454,
767,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B02,Ehretia rigida,32,1,0.092,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.00664761,
768,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B02,Ehretia rigida,32,1,0.113,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.010028749,
769,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B02,Ehretia rigida,19,1,0.066,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.003421194,
770,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B02,Ehretia rigida,30,2,0.14,0.085,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.038091811,
771,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B02,Ehretia rigida,25,1,0.058,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.002642079,
772,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B02,Commiphora africana,45,3,0.525,0.298,0.081,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.50061436,
773,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B02,Ehretia rigida,34,1,0.489,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.187805194,
774,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B02,Ehretia rigida,31,1,0.452,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.160459986,
775,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B02,Ehretia rigida,10,1,0.192,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.028952918,
776,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B02,Ehretia rigida,10,1,0.313,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.076944673,
777,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B02,Ehretia rigida,35,1,0.534,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.223960999,
778,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B02,Ehretia rigida,38,1,0.491,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.189344575,
779,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B02,Ehretia rigida,10,1,0.385,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.116415643,
780,,,11-Jun-2013,3,20,3_20,Intermediate 1,1B02,Ehretia rigida,10,1,0.466,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Sam and Chev,Cori,0.170553924,
