ref,,,Date,Grid,Plot,Site code,Site,Section code,species (correctly spelled!),Height (cm),# stems,stem 1 diameter (cm),stem 2 diameter (cm),stem 3 diameter (cm),stem 4 diameter (cm),stem 5 diameter (cm),%break,age (N/O/N/A),sprout (Y/ N),% circum,% Additive,% < 3m,age (n/o/N/A),% regro,% borer, % fire,topple (y/n),resprout #,ele? (y/n/N/A),alive (y/n),Notes,Data Collector,Data Enterer,total basal area,total biomass
27,,,23-May-2013,1,1,1_1,Dense 1,2A02,Dalbergia melanoxylon,45,1,0.439,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.151362719,
28,,,23-May-2013,1,1,1_1,Dense 1,2A02,Dalbergia melanoxylon,50,1,0.471,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.174233514,
29,,,23-May-2013,1,1,1_1,Dense 1,2A02,Dalbergia melanoxylon,65,1,0.413,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.133964579,
30,,,23-May-2013,1,1,1_1,Dense 1,2A02,Dalbergia melanoxylon,75,1,0.836,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.548911635,
31,,,23-May-2013,1,1,1_1,Dense 1,2A02,Dalbergia melanoxylon,75,1,1.085,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.924590353,
32,,,23-May-2013,1,1,1_1,Dense 1,2A02,Dichrostachys cinerea,75,1,0.319,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.079922903,
33,,,23-May-2013,1,1,1_1,Dense 1,2A02,Ehretia rigida,30,1,0.438,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.150673925,
34,,,23-May-2013,1,1,1_1,Dense 1,2A02,Ehretia rigida,35,1,0.484,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.183984232,
35,,,23-May-2013,1,1,1_1,Dense 1,2A02,Ormocarpum trichocarpum,65,2,0.833,0.316,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.858686022,
36,,,23-May-2013,1,1,1_1,Dense 1,2B02,Dalbergia melanoxylon,50,1,0.3,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori & Laurence,Peter ,0.070685835,
37,,,23-May-2013,1,1,1_1,Dense 1,2B02,Dalbergia melanoxylon,200,2,3.5,3.5,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori & Laurence,Peter ,48.10563751,
38,,,23-May-2013,1,1,1_1,Dense 1,2B02,Dalbergia melanoxylon,210,3,4,2.5,2,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori & Laurence,Peter ,35.34291735,
39,,,23-May-2013,1,1,1_1,Dense 1,2B02,Gymnosporia senegalensis,70,1,0.3,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori & Laurence,Peter ,0.070685835,
40,,,23-May-2013,1,1,1_1,Dense 1,2B02,Gymnosporia senegalensis,120,1,1,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori & Laurence,Peter ,0.785398163,
41,,,23-May-2013,1,1,1_1,Dense 1,2B02,Ormocarpum trichocarpum,45,1,0.6,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori & Laurence,Peter ,0.282743339,
42,,,23-May-2013,1,1,1_1,Dense 1,3A02,Dalbergia melanoxylon,50,1,0.648,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.32979183,
43,,,23-May-2013,1,1,1_1,Dense 1,3A02,Dalbergia melanoxylon,60,2,1.231,0.502,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,1.981855661,
44,,,23-May-2013,1,1,1_1,Dense 1,3A02,Dalbergia melanoxylon,65,4,0.685,0.682,0.65,0.636,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,3.432350981,
45,,,23-May-2013,1,1,1_1,Dense 1,3A02,Dalbergia melanoxylon,160,3,1.324,1.004,1.297,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,5.86476365,
46,,,23-May-2013,1,1,1_1,Dense 1,3A02,Ehretia rigida,30,1,0.297,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.069279187,
47,,,23-May-2013,1,1,1_1,Dense 1,3A02,Ehretia rigida,30,1,0.507,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.201885813,
48,,,23-May-2013,1,1,1_1,Dense 1,3A02,Ehretia rigida,45,3,0.524,0.324,0.424,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.686639057,
49,,,23-May-2013,1,1,1_1,Dense 1,3A02,Ehretia rigida,45,1,0.506,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.201090204,
50,,,23-May-2013,1,1,1_1,Dense 1,3A02,Ehretia rigida,85,1,0.478,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.179450914,
51,,,23-May-2013,1,1,1_1,Dense 1,3A02,Gymnosporia senegalensis,150,3,2.034,1.31,2.436,0,0,10,O,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,13.30122998,
52,,,23-May-2013,1,1,1_1,Dense 1,3A10,Gymnosporia senegalensis,210,10,4.1,4.1,3.6,3.5,3.5,25,O,N,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Julia & Audrey,Julia,124.2971133,
53,,,23-May-2013,1,1,1_1,Dense 1,3B02,Dalbergia melanoxylon,40,1,0.2,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori & Laurence,Peter ,0.031415927,
54,,,23-May-2013,1,1,1_1,Dense 1,3B02,Dalbergia melanoxylon,40,1,0.6,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori & Laurence,Peter ,0.282743339,
55,,,23-May-2013,1,1,1_1,Dense 1,3B02,Dalbergia melanoxylon,40,1,0.5,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori & Laurence,Peter ,0.196349541,
56,,,23-May-2013,1,1,1_1,Dense 1,3B02,Dalbergia melanoxylon,40,3,0.4,0.3,0.3,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori & Laurence,Peter ,0.47909288,
57,,,23-May-2013,1,1,1_1,Dense 1,3B02,Dalbergia melanoxylon,40,1,0.7,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori & Laurence,Peter ,0.3848451,
58,,,23-May-2013,1,1,1_1,Dense 1,3B02,Flueggea virosa,110,1,0.2,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori & Laurence,Peter ,0.031415927,
59,,,23-May-2013,1,1,1_1,Dense 1,3B02,Flueggea virosa,130,1,1.2,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori & Laurence,Peter ,1.130973355,
60,,,23-May-2013,1,1,1_1,Dense 1,3B02,Ormocarpum trichocarpum,50,1,0.2,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori & Laurence,Peter ,0.031415927,
61,,,23-May-2013,1,1,1_1,Dense 1,4A02,Dichrostachys cinerea,85,1,1.169,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,1.0732945,
62,,,23-May-2013,1,1,1_1,Dense 1,4A02,Gymnosporia senegalensis,200,4,1.917,2.372,2.546,1.618,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,33.87755052,
63,,,23-May-2013,1,1,1_1,Dense 1,4A02,Ormocarpum trichocarpum,85,2,1.333,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,1.395565357,
64,,,23-May-2013,1,1,1_1,Dense 1,4B02,Ormocarpum trichocarpum,120,1,1.1,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori & Laurence,Peter ,0.950331778,
65,,,23-May-2013,1,1,1_1,Dense 1,5B02,Gymnosporia senegalensis,180,1,3.2,0,0,0,0,10,O,N,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Cori & Laurence,Peter ,8.042477193,
66,,,23-May-2013,1,1,1_1,Dense 1,5B02,Gymnosporia senegalensis,190,1,2.2,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori & Laurence,Peter ,3.801327111,
67,,,23-May-2013,1,1,1_1,Dense 1,1A02,Dalbergia melanoxylon,380,1,0.464,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.169093083,
68,,,23-May-2013,1,1,1_1,Dense 1,2A02,Sclerocarya birrea,1400,1,59.9,0,0,0,0,30,O,N,40,40,100,60 O/40 N,80,35,0,N,N,N,Y,,Karen and Vellie,Peter,2818.016464,
69,,,23-May-2013,1,2,1_2,Dense 2,3A10,Acacia nigrescens,550,1,10.8,0,0,0,0,10,O,N,40,40,7,O,90,100,70,N,N,Y,Y,,Julia & Karen,Julia,91.60884178,
70,,,23-May-2013,1,2,1_2,Dense 2,3A10,Acacia nigrescens,570,2,10.5,9.8,0,0,0,7,O,N,0,0,0,N/A,0,0,0,N,N,Y,Y,,Julia & Karen,Julia,388.308706,
71,,,23-May-2013,1,2,1_2,Dense 2,4A10,Acacia nigrescens,710,2,14.5,14,0,0,0,15,O,Y,15,15,7,O,90,0,0,N,Y,Y,Y,,Julia & Karen,Julia,780.882124,
72,,,23-May-2013,1,2,1_2,Dense 2,4A10,Philenoptera violacea,510,1,14.5,0,0,0,0,7,O,Y,10,55,7,O,70,0,0,N,N,Y,Y,,Julia & Karen,Julia,165.1299639,
73,,,23-May-2013,1,2,1_2,Dense 2,4A10,Acacia nigrescens,630,2,12.7,12.1,0,0,0,5,O,Y,30,20,5,O,65,10,35,N,Y,U,Y,,Julia & Karen,Julia,586.6374502,
74,,,23-May-2013,1,2,1_2,Dense 2,5B25,Sclerocarya birrea,1200,1,63,0,0,0,0,45,O,N,50,90,53,O,40,15,50,N,N,Y,Y,,Peter & Audrey,Audrey,3117.245311,
75,,,23-May-2013,1,2,1_2,Dense 2,3B25,Sclerocarya birrea,1250,1,58.8,0,0,0,0,3,O,N,70,70,,O,33,30,0,N,N,Y,Y,,Peter & Audrey,Audrey,2715.467026,
