date,grid,plot,zone,side,fixed_area,height,num_stems,stem_1_diam,stem_2_diam,stem_3_diam,stem_4_diam,stem_5_diam,canopy_breakage,breakage_age,breakage_resprout,circum,add_circum,bark_stripped,strip_age,bark_regrow,borer,fire,toppled,toppled_resprout,elephant_damage,alive,notes,data_collector,scribe,total_basal_area,season,location,tag,spcode
23-May-2013,1,1,2,A,<2,65,1,0.413,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.133964579,mj13,K,NA,DAME
23-May-2013,1,1,2,A,<2,75,1,0.836,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.548911635,mj13,K,NA,DAME
23-May-2013,1,1,2,A,<2,75,1,1.085,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.924590353,mj13,K,NA,DAME
23-May-2013,1,1,2,A,<2,75,1,0.319,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.079922903,mj13,K,NA,DICI
23-May-2013,1,1,2,A,<2,30,1,0.438,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.150673925,mj13,K,NA,EHRI
23-May-2013,1,1,2,A,<2,35,1,0.484,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.183984232,mj13,K,NA,EHRI
23-May-2013,1,1,2,A,<2,65,2,0.833,0.316,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.858686022,mj13,K,NA,ORTR
23-May-2013,1,1,2,B,<2,50,1,0.3,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Cori & Laurence,Peter ,0.070685835,mj13,K,NA,DAME
23-May-2013,1,1,2,B,<2,200,2,3.5,3.5,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Cori & Laurence,Peter ,48.10563751,mj13,K,NA,DAME
23-May-2013,1,1,2,B,<2,210,3,4,2.5,2,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Cori & Laurence,Peter ,35.34291735,mj13,K,NA,DAME
23-May-2013,1,1,2,B,<2,70,1,0.3,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Cori & Laurence,Peter ,0.070685835,mj13,K,NA,GYSE
23-May-2013,1,1,2,B,<2,120,1,1,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Cori & Laurence,Peter ,0.785398163,mj13,K,NA,GYSE
